mo_id,ubc_F,genbank,action_scope,requested_action,status,current_evidence,breakdown
159693,F24944,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F24944 does not contain MO ref 159693,07
159336,F25002,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25002 does not contain MO ref 159336,07
159319,F25005,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25005 does not contain MO ref 159319,07
159256,F25063,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25063 does not contain MO ref 159256,07
159096,F25068,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25068 does not contain MO ref 159096,07
159094,F25070,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25070 does not contain MO ref 159094,07
159093,F25092,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25092 does not contain MO ref 159093,07
159049,F25080,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25080 does not contain MO ref 159049,07
159048,F25084,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25084 does not contain MO ref 159048,07
159047,F25091,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25091 does not contain MO ref 159047,07
159011,F25103,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25103 does not contain MO ref 159011,07
157498,F26371,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26371 does not contain MO ref 157498,07
156944,F29666,,UBC/BBM,Add MO #,still_unimplemented,BBM F29666 does not contain MO ref 156944,07
156089,F26406,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26406 does not contain MO ref 156089,07
155785,F26198,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26198 does not contain MO ref 155785,07
155784,F26194,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26194 does not contain MO ref 155784,07
155754,F26391,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26391 does not contain MO ref 155754,07
155752,F26392,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26392 does not contain MO ref 155752,07
155746,F26380,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26380 does not contain MO ref 155746,07
155602,F26404,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26404 does not contain MO ref 155602,07
154945,F26379,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26379 does not contain MO ref 154945,07
154944,F26397,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26397 does not contain MO ref 154944,07
154934,F26172,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26172 does not contain MO ref 154934,07
154933,F26173,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26173 does not contain MO ref 154933,07
154902,F26346,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26346 does not contain MO ref 154902,07
154832,F26409,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26409 does not contain MO ref 154832,07
154831,F26372,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26372 does not contain MO ref 154831,07
154830,F26344,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26344 does not contain MO ref 154830,07
154826,F26359,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26359 does not contain MO ref 154826,07
154494,F26319,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26319 does not contain MO ref 154494,07
