bbm,guid,status,breakdown
F000349,296B5A94-59A3-1446-BD24-8C9AF31C4B23,present,
F000350,ADD4DD74-8A2D-624C-932A-9420C6455AD6,present,
F000351,D8278B6A-63EF-114F-A445-0CC0FCD667D5,present,
F000352,7B75DC11-9E2E-514A-8C88-DFF14A1DFC91,present,
F000353,24DB8D33-3D70-864E-A995-D8FC04526A8D,present,
F000354,2998847F-A98E-7544-B5C0-1756748210BB,present,
F000355,D321FFA5-3C38-B749-A3F9-F46B96C38188,present,
F000356,AA2AE9D8-B15B-C742-9D8D-BD22BB3549FB,present,
F000357,FE09DFA4-9A2A-974A-B9D9-976B01969782,present,
F000358,39E98A10-BE42-744B-8D3F-20932AD0C354,present,
F000359,7D8B1B66-1B1C-0944-9C80-968BA536E3EE,present,
F000360,92BDBA4E-54DB-7C4F-8E2D-CD7E415AFF79,present,
F000361,6CC86227-16D8-DC4E-B465-8619B6D0ECAD,present,
F000362,0137E64D-9F3B-2F4B-ABAF-A051DD061984,present,
F000363,F1B3D17F-07CE-4944-BB2C-A721AE474D1C,present,
F000364,B6499BBE-C459-7745-A8A0-420464E349BF,present,
F000365,7551D0DD-0681-F549-AA25-52E0FA086E78,present,
F000366,6AF98359-37EB-2F49-8FAB-40A1D55AD353,present,
F000367,FF10C123-AC4E-2248-BE24-98AFC4CB9E93,present,
F000368,7958F756-A62E-744B-9B15-A9D8F74F8E23,present,
F000369,6003EE92-E3CB-1240-9A2D-88112DB98CC1,present,
F000370,80DB6ADF-6B38-094D-98F4-30440C90891D,present,
F000371,B47C68F7-038D-8F4E-AAB9-788C0ADA2E4B,present,
F000372,BF9EF836-0821-6942-81FF-6F9D2887E866,present,
F000373,C7004EBF-5407-3645-B6A4-D2540260103A,present,
F000374,0DBABD73-FEB2-DC40-B45B-AE1F639CE9B7,present,
F000375,A0F401DB-3D48-0746-9A2B-4C90D11ED897,present,
F000376,03F224E6-A46C-4D46-B176-0B1E293509C4,present,
F000377,4688378B-E529-C746-9996-716784E2EA7F,present,
F000378,54057CFB-314D-0A44-B90C-2E5460CE438A,present,
F000379,1E51106F-E0ED-2846-9C74-89571D749BB3,present,
F000380,EA0B31CA-3368-F542-BB1B-CA0902941927,present,
F000381,2517D980-3720-264C-994E-61531165F0A3,present,
F000382,BC297C21-759E-6A41-B6EF-7DA54C15D971,present,
F000383,997C9DEF-985B-BE41-85A2-76D91946E991,present,
F000384,703E47C5-6C1D-0545-BBEE-3A47DFF8149F,present,
F000385,85CE34F1-4BC5-AD46-8167-8329EA9E3835,present,
F000386,99A99794-7799-4E43-B1AA-BF1B734E4BD7,present,
F000387,9478C454-3ECC-4142-B14A-1E741AADF646,present,
F000388,BE1BDAF8-85BF-0446-B1CA-CB2FC301C202,present,
F000389,2A234102-4DBE-F844-9A37-491A09B36B78,present,
F000390,BBE8EC60-D99B-5A4D-9BA2-A6B3F61C8103,present,
F000391,F330B264-43E9-0945-B70C-E18EB9D8E44E,present,
F000392,9ABC4588-9E1D-184D-8A2F-59FDDBAF8164,present,
F000393,FA10F765-07FF-274B-B961-0D1076214573,present,
F000394,804AAB87-B894-2C4E-8460-B469C6D6D372,present,
F000395,5AE94AF6-C266-B842-9D69-F9C50A1E4091,present,
F000396,A453E33D-6EE8-014A-A0D5-46AD29E4FCB7,present,
F000397,D67FDA81-068E-DE43-B189-375198DB92A0,present,
F000398,304AA3E9-31A9-5A40-99D6-836A60184E3D,present,
F000399,5FACF3C0-93EB-FF4E-BFBD-6666618588E9,present,
F000400,FE21DA21-8CF1-FA42-8626-B12D19C710EE,present,
F000401,AD0C30F9-762B-2A43-8481-46BD3E315CFB,present,
F000402,3EA67B27-0CBA-7A49-A1FF-18CE63805FB7,present,
