platform,record_a,record_b,match_type,breakdown
BBM,BBM:F000894,BBM:F000897,similar,06
BBM,BBM:F001503,BBM:F001504,similar,06
mo,MO:86599,MO:302973,similar,06
BBM,BBM:F001507,BBM:F001510,similar,06
mo,MO:152313,MO:155732,similar,06
mo,MO:392361,MO:394506,similar,06
mo,MO:392361,MO:395867,similar,06
mo,MO:392361,MO:396787,similar,06
mo,MO:394506,MO:395867,similar,06
mo,MO:394506,MO:396787,similar,06
mo,MO:395867,MO:396787,similar,06
mo,MO:353943,MO:355507,similar,06
mo,MO:375287,MO:375867,similar,06
mo,MO:375287,MO:381016,similar,06
mo,MO:375867,MO:381016,similar,06
mo,MO:426913,MO:426922,similar,06
mo,MO:302136,MO:360372,similar,06
mo,MO:65562,MO:73016,similar,06
mo,MO:66305,MO:75668,similar,06
mo,MO:66305,MO:75929,similar,06
mo,MO:75668,MO:75929,similar,06
mo,MO:66790,MO:82707,similar,06
mo,MO:66965,MO:72828,similar,06
mo,MO:66965,MO:97297,similar,06
mo,MO:72828,MO:97297,similar,06
mo,MO:68837,MO:83051,similar,06
mo,MO:68837,MO:106169,similar,06
mo,MO:83051,MO:106169,similar,06
mo,MO:72857,MO:77711,similar,06
mo,MO:75665,MO:156593,similar,06
mo,MO:75666,MO:75670,similar,06
mo,MO:75889,MO:156482,similar,06
mo,MO:75889,MO:156483,similar,06
mo,MO:75889,MO:195910,similar,06
mo,MO:156482,MO:156483,similar,06
mo,MO:156482,MO:195910,similar,06
mo,MO:156483,MO:195910,similar,06
mo,MO:75896,MO:156683,strict,06
mo,MO:90519,MO:105731,similar,06
mo,MO:90519,MO:105732,similar,06
mo,MO:105731,MO:105732,similar,06
mo,MO:106279,MO:106282,similar,06
mo,MO:127700,MO:132785,similar,06
mo,MO:127700,MO:132786,similar,06
mo,MO:127700,MO:160436,similar,06
mo,MO:132785,MO:132786,similar,06
mo,MO:132785,MO:160436,similar,06
mo,MO:132786,MO:160436,similar,06
mo,MO:131752,MO:163801,similar,06
mo,MO:131754,MO:163818,similar,06
mo,MO:132784,MO:151393,similar,06
mo,MO:132788,MO:139497,similar,06
mo,MO:148507,MO:151889,similar,06
mo,MO:156637,MO:156695,similar,06
mo,MO:156772,MO:157064,similar,06
mo,MO:156772,MO:196543,similar,06
mo,MO:157064,MO:196543,similar,06
mo,MO:156777,MO:156849,similar,06
mo,MO:157008,MO:209961,similar,06
mo,MO:157008,MO:210247,similar,06
mo,MO:209961,MO:210247,similar,06
mo,MO:157225,MO:157332,similar,06
mo,MO:157225,MO:157333,similar,06
mo,MO:157332,MO:157333,similar,06
mo,MO:157334,MO:157552,similar,06
mo,MO:157365,MO:157845,similar,06
mo,MO:157462,MO:157463,strict,06
mo,MO:157556,MO:157811,strict,06
mo,MO:157560,MO:157813,similar,06
mo,MO:157560,MO:157814,similar,06
mo,MO:157813,MO:157814,similar,06
mo,MO:157823,MO:157825,strict,06
mo,MO:157843,MO:157844,similar,06
mo,MO:163434,MO:164059,similar,06
mo,MO:163434,MO:164619,similar,06
mo,MO:163434,MO:165087,similar,06
mo,MO:164059,MO:164619,similar,06
mo,MO:164059,MO:165087,similar,06
mo,MO:164619,MO:165087,similar,06
mo,MO:164058,MO:165086,similar,06
mo,MO:164058,MO:194697,similar,06
mo,MO:165086,MO:194697,similar,06
mo,MO:164105,MO:193062,similar,06
mo,MO:164503,MO:164507,similar,06
mo,MO:164503,MO:192981,similar,06
mo,MO:164507,MO:192981,similar,06
mo,MO:164622,MO:176001,similar,06
mo,MO:165084,MO:169271,strict,06
mo,MO:165085,MO:189822,similar,06
mo,MO:165085,MO:193055,similar,06
mo,MO:189822,MO:193055,similar,06
